name,n,year,female.births,per.million,cumulative,cumulative.per.million
Christina,16140,1980,1780360,9065.582241793794,16140,9065.582241793794
Christine,7085,1980,1780360,3979.532229436743,7085,3979.532229436743
Christina,14395,1981,1788139,8050.269022710204,30535,17115.851264504
Christine,6856,1981,1788139,3834.1538325599968,13941,7813.686061996739
Christina,14511,1982,1813865,8000.044104715621,45046,25115.89536921962
Christine,6555,1982,1813865,3613.830136200875,20496,11427.516198197614
Christina,15361,1983,1789223,8585.290933550486,60407,33701.186302770104
Christine,6496,1983,1789223,3630.6262550839106,26992,15058.142453281525
Christina,14700,1984,1802722,8154.335499317143,75107,41855.52180208725
Christine,7295,1984,1802722,4046.658331123712,34287,19104.800784405237
Christina,16597,1985,1845753,8991.994053375505,91704,50847.515855462756
Christine,7440,1985,1845753,4030.8752037786203,41727,23135.67598818386
Christina,14377,1986,1844872,7792.952573403467,106081,58640.468428866225
Christine,6918,1986,1844872,3749.853648383194,48645,26885.52963656705
Christina,13815,1987,1873696,7373.127764589346,119896,66013.59619345557
Christine,6618,1987,1873696,3532.0564275101187,55263,30417.58606407717
Christina,12953,1988,1922429,6737.830109720567,132849,72751.42630317614
Christine,6609,1988,1922429,3437.838276472109,61872,33855.42434054928
Christina,13136,1989,1991833,6594.930398281383,145985,79346.35670145752
Christine,6134,1989,1991833,3079.575446335109,68006,36934.999786884386
Christina,11925,1990,2053848,5806.17455624759,157910,85152.53125770511
Christine,5675,1990,2053848,2763.106130541306,73681,39698.105917425695
Christina,10561,1991,2033020,5194.734926365702,168471,90347.2661840708
Christine,4809,1991,2033020,2365.4464786376916,78490,42063.55239606339
Christina,9441,1992,2004237,4710.520761766198,177912,95057.78694583701
Christine,4148,1992,2004237,2069.615519521893,82638,44133.167915585276
Christina,8286,1993,1971108,4203.727040831857,186198,99261.51398666887
Christine,3479,1993,1971108,1764.9971488117344,86117,45898.16506439701
Christina,7670,1994,1948955,3935.44232678538,193868,103196.95631345424
Christine,3162,1994,1948955,1622.4079057751462,89279,47520.57297017216
Christina,6952,1995,1921147,3618.671554024757,200820,106815.627867479
Christine,2814,1995,1921147,1464.7499644743477,92093,48985.32293464651
Christina,5800,1996,1916774,3025.9175051414513,206620,109841.54537262046
Christine,2371,1996,1916774,1236.974207705238,94464,50222.297142351745
Christina,5180,1997,1908700,2713.889034421334,211800,112555.43440704179
Christine,1941,1997,1908700,1016.9225127049824,96405,51239.21965505673
Christina,4532,1998,1937876,2338.642926585602,216332,114894.07733362739
Christine,1715,1998,1937876,884.9895452547015,98120,52124.20920031143
Christina,4295,1999,1946028,2207.059713426528,220627,117101.13704705391
Christine,1498,1999,1946028,769.7730967899743,99618,52893.9822971014
Christina,4328,2e3,1994676,2169.7759435617613,224955,119270.91299061567
Christine,1440,2e3,1994676,721.9217557137099,101058,53615.904052815116
Christina,3740,2001,1979793,1889.0863842836093,228695,121159.99937489929
Christine,1245,2001,1979793,628.8536225756935,102303,54244.75767539081
Christina,3384,2002,1973757,1714.4967693591461,232079,122874.49614425843
Christine,1026,2002,1973757,519.8208290078262,103329,54764.57850439863
Christina,3111,2003,2005167,1551.4917211384388,235190,124425.98786539688
Christine,941,2003,2005167,469.2875954970334,104270,55233.86609989567
Christina,2732,2004,2016339,1354.9308920771755,237922,125780.91875747405
Christine,844,2004,2016339,418.5804073620557,105114,55652.44650725772
Christina,2451,2005,2027865,1208.6603398155203,240373,126989.57909728956
Christine,792,2005,2027865,390.55854309828317,105906,56043.005050356005
Christina,2226,2006,2088675,1065.7474236058745,242599,128055.32652089544
Christine,728,2006,2088675,348.5463272170156,106634,56391.55137757302
Christina,2018,2007,2114380,954.4168976248357,244617,129009.74341852027
Christine,616,2007,2114380,291.3383592353314,107250,56682.88973680835
Christina,1674,2008,2080467,804.62703806405,246291,129814.37045658432
Christine,568,2008,2080467,273.0156258186263,107818,56955.90536262698
Christina,1465,2009,2022399,724.3872252705821,247756,130538.75768185491
Christine,489,2009,2022399,241.79204993673355,108307,57197.69741256371
Christina,1285,2010,1957645,656.4009307101134,249041,131195.15861256502
Christine,430,2010,1957645,219.65167331155547,108737,57417.34908587527
Christina,1179,2011,1934276,609.5303875972199,250220,131804.68900016224
Christine,378,2011,1934276,195.42195632887965,109115,57612.77104220415
Christina,1122,2012,1935222,579.7784440234764,251342,132384.46744418572
Christine,434,2012,1935222,224.26367620872438,109549,57837.03471841287
Christina,1061,2013,1922536,551.8752314651065,252403,132936.3426756508
Christine,396,2013,1922536,205.97793747425274,109945,58043.01265588713
Christina,1020,2014,1949966,523.0860435515285,253423,133459.42871920235
Christine,409,2014,1949966,209.74724687507373,110354,58252.7599027622
Christina,975,2015,1942833,501.84447144968203,254398,133961.27319065205
Christine,355,2015,1942833,182.72285883552522,110709,58435.48276159773
Christina,841,2016,1920613,437.8810306917635,255239,134399.1542213438
Christine,388,2016,1920613,202.01883461165784,111097,58637.50159620938
